Nº Ordem Compra;Seq.;Cód Serviço;DESCRIÇÃO PRODUTO OU SERVIÇO;Categoria do Serviço;Complemento da Descrição;Quantidade Pedida;U.M. O.C.;Valor do Rateio;Fornecedor;Fantasia Fornecedor;Projeto;Descr. Projeto;Fase;Descr. Fase;Conta Financeira;Conta Contábil;Usuário Comprador;Setor;Emissão;Consta na base de NF;Lançamentos NF na base (OC+item);Valor Rateio total (OC+item);Valor NF na base (OC+item);Diferença NF - Rateio (OC+item)
33265;2;0046;PASSAGENS;PASSAGENS;PASSAGENS - JOSE MARIO;1,0;SV;483,41;16013061;R3 VIAGENS TURISMO E EVENTOS;10050;FORTES - ARAUCO;1;Hélice Contínua;2640;3069;Giovanna Rosa Matricula 3241 Geofix;Hélice Contínua;2025-11-10 00:00:00;Sim;2;1159,14;1159,14;0,0
33265;3;0046;PASSAGENS;PASSAGENS;PASSAGENS - JOSE MARIO;1,0;SV;675,73;16013061;R3 VIAGENS TURISMO E EVENTOS;10050;FORTES - ARAUCO;1;Hélice Contínua;2640;3069;Giovanna Rosa Matricula 3241 Geofix;Hélice Contínua;2025-11-10 00:00:00;Sim;2;1159,14;1159,14;0,0
33266;1;0322;HOSPEDAGEM SINGLE;HOSPEDAGEM SINGLE;HOSPEDAGEM SINGLE - MANUELA FERREIRA;3,0;SV;951,0;16013061;R3 VIAGENS TURISMO E EVENTOS;30032;ÁPIA - SAMARCO MARIANA_MG;1;Lama;2650;3235;Giovanna Rosa Matricula 3241 Geofix;Lama;2025-11-10 00:00:00;Sim;2;1824,0;1824,0;0,0
33266;2;0046;PASSAGENS;PASSAGENS;PASSAGENS - JOÃO KLIMAITIS;1,0;SV;1698,52;16013061;R3 VIAGENS TURISMO E EVENTOS;30032;ÁPIA - SAMARCO MARIANA_MG;6;Tirantes;2640;3069;Giovanna Rosa Matricula 3241 Geofix;Tirantes;2025-11-10 00:00:00;Sim;3;6967,24;6967,24;0,0
33266;3;0046;PASSAGENS;PASSAGENS;PASSAGENS -  JOÃO KLIMAITIS;1,0;SV;1359,85;16013061;R3 VIAGENS TURISMO E EVENTOS;30032;ÁPIA - SAMARCO MARIANA_MG;6;Tirantes;2640;3069;Giovanna Rosa Matricula 3241 Geofix;Tirantes;2025-11-10 00:00:00;Sim;3;6967,24;6967,24;0,0
33266;4;0046;PASSAGENS;PASSAGENS;PASSAGENS - MARCELO PIRES;1,0;SV;3908,87;16013061;R3 VIAGENS TURISMO E EVENTOS;10050;FORTES - ARAUCO;1;Hélice Contínua;2640;3069;Giovanna Rosa Matricula 3241 Geofix;Hélice Contínua;2025-11-10 00:00:00;Sim;3;6967,24;6967,24;0,0
33266;5;0322;HOSPEDAGEM SINGLE;HOSPEDAGEM SINGLE;HOSPEDAGEM SINGLE -  JOÃO KLIMAITIS;1,0;SV;873,0;16013061;R3 VIAGENS TURISMO E EVENTOS;30032;ÁPIA - SAMARCO MARIANA_MG;6;Tirantes;2650;3235;Giovanna Rosa Matricula 3241 Geofix;Tirantes;2025-11-10 00:00:00;Sim;2;1824,0;1824,0;0,0
33267;1;0006;LOCAÇÃO DE VEÍCULO;LOCAÇÃO DE VEÍCULO;LOCAÇÃO DE VEÍCULO - INALDO SILVA;1,0;LOC;3790,18;16013061;R3 VIAGENS TURISMO E EVENTOS;50003;GALWAN - VITÓRIA_ES;2;Tirantes;2160;3058;Giovanna Rosa Matricula 3241 Geofix;Tirantes;2025-11-10 00:00:00;Sim;1;3790,18;3790,18;0,0
33270;1;0046;PASSAGENS;PASSAGENS;PASSAGENS - LYDIO RICARDO;1,0;SV;936,17;16013061;R3 VIAGENS TURISMO E EVENTOS;1001;PROJETO ADMINISTRAÇÃO;1;Hélice Contínua;1305;3112;Giovanna Rosa Matricula 3241 Geofix;Hélice Contínua;2025-11-10 00:00:00;Sim;2;1850,07;1850,07;0,0
33270;2;0046;PASSAGENS;PASSAGENS;PASSAGENS - LUZIMAR ANTONIO;1,0;SV;913,9;16013061;R3 VIAGENS TURISMO E EVENTOS;1001;PROJETO ADMINISTRAÇÃO;1;Hélice Contínua;1305;3112;Giovanna Rosa Matricula 3241 Geofix;Hélice Contínua;2025-11-10 00:00:00;Sim;2;1850,07;1850,07;0,0
